n_voters,n_candidates,n_splits,pref_dist,axiom_name,possible_violations,total_violations,non_violating_rule_names
16,10,20,single_peaked_conitzer,Weak Consistency,13,8,"Counter({'Anti-Plurality': 4, 'Borda': 1})"
16,10,20,IC,Homogeneity,500,171,"Counter({'Anti-Plurality': 102, 'Plurality': 65, 'Borda': 61, 'Plurality Veto': 52, 'Dowdall': 49})"
16,10,20,IC,Reversal Symmetry,500,0,"Counter({'Anti-Plurality': 141, 'Plurality': 100, 'Borda': 98, 'Dowdall': 81, 'Plurality Veto': 80})"
16,10,20,IC,Monotonicity,500,39,"Counter({'Anti-Plurality': 150, 'Dowdall': 88, 'Borda': 83, 'Plurality': 79, 'Plurality Veto': 61})"
16,10,20,IC,Strong Consistency,104,43,"Counter({'Plurality Veto': 19, 'Borda': 17, 'Dowdall': 13, 'Anti-Plurality': 7, 'Plurality': 5})"
16,10,20,IC,Weak Consistency,0,0,Counter()
16,10,40,MALLOWS-RELPHI-R,Homogeneity,500,131,"Counter({'Borda': 272, 'Dowdall': 56, 'Plurality Veto': 19, 'Anti-Plurality': 16, 'Plurality': 6})"
16,10,40,MALLOWS-RELPHI-R,Reversal Symmetry,500,0,"Counter({'Borda': 355, 'Dowdall': 88, 'Plurality Veto': 24, 'Anti-Plurality': 20, 'Plurality': 13})"
16,10,40,MALLOWS-RELPHI-R,Monotonicity,500,12,"Counter({'Borda': 358, 'Dowdall': 82, 'Plurality Veto': 20, 'Anti-Plurality': 19, 'Plurality': 9})"
16,10,40,MALLOWS-RELPHI-R,Strong Consistency,248,39,"Counter({'Borda': 181, 'Dowdall': 23, 'Plurality Veto': 3, 'Anti-Plurality': 1, 'Plurality': 1})"
16,10,40,MALLOWS-RELPHI-R,Weak Consistency,37,5,"Counter({'Borda': 27, 'Dowdall': 5})"
16,10,40,URN-R,Homogeneity,500,123,"Counter({'Borda': 194, 'Dowdall': 123, 'Plurality Veto': 39, 'Anti-Plurality': 13, 'Plurality': 8})"
16,10,40,URN-R,Reversal Symmetry,500,0,"Counter({'Borda': 251, 'Dowdall': 151, 'Plurality Veto': 58, 'Anti-Plurality': 22, 'Plurality': 18})"
16,10,40,URN-R,Monotonicity,500,10,"Counter({'Borda': 248, 'Dowdall': 148, 'Plurality Veto': 56, 'Anti-Plurality': 25, 'Plurality': 13})"
16,10,40,URN-R,Strong Consistency,238,44,"Counter({'Borda': 130, 'Dowdall': 45, 'Plurality Veto': 15, 'Anti-Plurality': 2, 'Plurality': 2})"
16,10,40,URN-R,Weak Consistency,59,1,"Counter({'Borda': 57, 'Dowdall': 1})"
16,10,40,plackett_luce,Homogeneity,500,92,"Counter({'Borda': 397, 'Dowdall': 10, 'Plurality Veto': 1})"
16,10,40,plackett_luce,Reversal Symmetry,500,0,"Counter({'Borda': 489, 'Dowdall': 11})"
16,10,40,plackett_luce,Monotonicity,500,8,"Counter({'Borda': 481, 'Dowdall': 11})"
16,10,40,plackett_luce,Strong Consistency,416,12,Counter({'Borda': 404})
16,10,40,plackett_luce,Weak Consistency,2,0,Counter({'Borda': 2})
16,10,40,single_peaked_conitzer,Homogeneity,500,116,"Counter({'Borda': 343, 'Plurality Veto': 41})"
16,10,40,single_peaked_conitzer,Reversal Symmetry,500,0,"Counter({'Borda': 382, 'Anti-Plurality': 62, 'Plurality Veto': 55, 'Dowdall': 1})"
16,10,40,single_peaked_conitzer,Monotonicity,500,40,"Counter({'Borda': 352, 'Anti-Plurality': 62, 'Plurality Veto': 46})"
16,10,40,single_peaked_conitzer,Strong Consistency,231,33,"Counter({'Borda': 184, 'Anti-Plurality': 11, 'Plurality Veto': 3})"
16,10,40,single_peaked_conitzer,Weak Consistency,9,5,"Counter({'Anti-Plurality': 3, 'Borda': 1})"
16,10,40,IC,Homogeneity,500,167,"Counter({'Anti-Plurality': 84, 'Borda': 76, 'Plurality': 72, 'Dowdall': 66, 'Plurality Veto': 35})"
16,10,40,IC,Reversal Symmetry,500,0,"Counter({'Anti-Plurality': 116, 'Plurality': 111, 'Dowdall': 108, 'Borda': 100, 'Plurality Veto': 65})"
16,10,40,IC,Monotonicity,500,41,"Counter({'Dowdall': 112, 'Anti-Plurality': 109, 'Borda': 99, 'Plurality': 89, 'Plurality Veto': 50})"
16,10,40,IC,Strong Consistency,91,36,"Counter({'Borda': 14, 'Anti-Plurality': 12, 'Dowdall': 11, 'Plurality': 10, 'Plurality Veto': 8})"
16,10,40,IC,Weak Consistency,0,0,Counter()
16,20,20,MALLOWS-RELPHI-R,Homogeneity,500,119,"Counter({'Borda': 326, 'Dowdall': 37, 'Anti-Plurality': 9, 'Plurality Veto': 7, 'Plurality': 2})"
16,20,20,MALLOWS-RELPHI-R,Reversal Symmetry,500,0,"Counter({'Borda': 396, 'Dowdall': 63, 'Anti-Plurality': 21, 'Plurality Veto': 12, 'Plurality': 8})"
16,20,20,MALLOWS-RELPHI-R,Monotonicity,500,13,"Counter({'Borda': 393, 'Dowdall': 62, 'Anti-Plurality': 13, 'Plurality': 11, 'Plurality Veto': 8})"
16,20,20,MALLOWS-RELPHI-R,Strong Consistency,300,30,"Counter({'Borda': 259, 'Dowdall': 9, 'Plurality Veto': 2})"
16,20,20,MALLOWS-RELPHI-R,Weak Consistency,8,0,"Counter({'Borda': 7, 'Dowdall': 1})"
16,20,20,URN-R,Homogeneity,500,119,"Counter({'Borda': 219, 'Dowdall': 139, 'Plurality Veto': 17, 'Anti-Plurality': 4, 'Plurality': 2})"
